U,Voxel,Ny,Cells,RPM,TSR,Cp_corr,Cd,Power_W
3.00000000,coarse,80,1920000,7.50000000E1,1.3090,0.1898,0.9225,11.93
3.00000000,coarse,80,1920000,1.25000000E2,2.1817,0.1997,0.9611,12.55
3.00000000,coarse,80,1920000,1.75000000E2,3.0543,0.2159,1.0482,13.57
3.00000000,coarse,80,1920000,2.25000000E2,3.9270,0.2141,1.0416,13.46
3.00000000,coarse,80,1920000,2.75000000E2,4.7997,0.1876,0.9151,11.79
5.00000000,coarse,80,1920000,7.50000000E1,0.7854,0.1425,0.6897,41.48
5.00000000,coarse,80,1920000,1.25000000E2,1.3090,0.1580,0.7625,45.99
5.00000000,coarse,80,1920000,1.75000000E2,1.8326,0.1582,0.7639,46.04
5.00000000,coarse,80,1920000,2.25000000E2,2.3562,0.1719,0.8305,50.03
5.00000000,coarse,80,1920000,2.75000000E2,2.8798,0.1824,0.8781,53.06
1.00000000E1,coarse,80,1920000,7.50000000E1,0.3927,0.0570,0.2691,132.59
1.00000000E1,coarse,80,1920000,1.25000000E2,0.6545,0.0616,0.2904,143.49
1.00000000E1,coarse,80,1920000,1.75000000E2,0.9163,0.0707,0.3336,164.49
1.00000000E1,coarse,80,1920000,2.25000000E2,1.1781,0.0781,0.3760,181.73
1.00000000E1,coarse,80,1920000,2.75000000E2,1.4399,0.0820,0.3925,190.83
